DAY,HOUR,OPEN,HIGH,LOW,CLOSE
4/9/2015,20:00,1.06526,1.06641,1.06496,1.06584
4/9/2015,21:00,1.06547,1.0664,1.06513,1.06615
4/9/2015,22:00,1.06615,1.06661,1.06607,1.06627
4/9/2015,23:00,1.06629,1.06673,1.06575,1.06658
4/10/2015,0:00,1.06659,1.06754,1.06612,1.06739
4/10/2015,1:00,1.06739,1.06819,1.06644,1.06819
4/10/2015,2:00,1.06817,1.06827,1.06696,1.06702
4/10/2015,3:00,1.06705,1.06791,1.06658,1.06768
4/10/2015,4:00,1.06767,1.06828,1.06764,1.06775
4/10/2015,5:00,1.06772,1.06817,1.06721,1.06721
4/10/2015,6:00,1.06718,1.06718,1.06439,1.0645
4/10/2015,7:00,1.06451,1.06475,1.06062,1.06124
4/10/2015,8:00,1.06123,1.06318,1.06043,1.06065
4/10/2015,9:00,1.06063,1.06158,1.05882,1.0611
4/10/2015,10:00,1.06112,1.06223,1.05793,1.05797
4/10/2015,11:00,1.05797,1.05972,1.05731,1.05851
4/10/2015,12:00,1.0585,1.05954,1.05671,1.05891
4/10/2015,13:00,1.0589,1.06256,1.05795,1.06021
4/10/2015,14:00,1.06023,1.0635,1.0602,1.06227
4/10/2015,15:00,1.06225,1.06265,1.05937,1.05963
4/10/2015,16:00,1.05964,1.06048,1.05843,1.05907
4/10/2015,17:00,1.05908,1.05957,1.05821,1.05906
4/10/2015,18:00,1.05906,1.06056,1.05847,1.06036
4/10/2015,19:00,1.06034,1.06085,1.05973,1.06082
4/10/2015,20:00,1.06079,1.06079,1.05948,1.05974
4/12/2015,21:00,1.05838,1.05958,1.05814,1.05941
4/12/2015,22:00,1.05944,1.0613,1.05944,1.06119
4/12/2015,23:00,1.06114,1.06166,1.0605,1.06054
4/13/2015,0:00,1.06055,1.06184,1.06043,1.06082
4/13/2015,1:00,1.06085,1.06166,1.06062,1.06088
4/13/2015,2:00,1.06088,1.06101,1.0584,1.05957
4/13/2015,3:00,1.05958,1.06008,1.05909,1.05945
4/13/2015,4:00,1.05945,1.05975,1.05871,1.05872
4/13/2015,5:00,1.05874,1.05936,1.05774,1.05919
4/13/2015,6:00,1.05915,1.06108,1.05841,1.06055
4/13/2015,7:00,1.06051,1.06165,1.05607,1.05644
4/13/2015,8:00,1.05645,1.05752,1.05486,1.05561
4/13/2015,9:00,1.05559,1.05664,1.053,1.05455
4/13/2015,10:00,1.05456,1.0553,1.05207,1.0526
4/13/2015,11:00,1.05259,1.05471,1.05197,1.05413
4/13/2015,12:00,1.05414,1.05682,1.05405,1.05497
4/13/2015,13:00,1.05496,1.06089,1.0548,1.05916
4/13/2015,14:00,1.05918,1.05956,1.05628,1.05743
4/13/2015,15:00,1.05746,1.05937,1.05679,1.05801
4/13/2015,16:00,1.05802,1.05931,1.05738,1.05816
4/13/2015,17:00,1.05815,1.05832,1.0558,1.05629
4/13/2015,18:00,1.05631,1.05702,1.05582,1.05681
4/13/2015,19:00,1.0568,1.058,1.05663,1.05787
4/13/2015,20:00,1.05787,1.05794,1.05635,1.05663
4/13/2015,21:00,1.05669,1.0572,1.05651,1.05675
4/13/2015,22:00,1.05674,1.05721,1.05657,1.05719
4/13/2015,23:00,1.05721,1.05766,1.05671,1.05712
4/14/2015,0:00,1.0571,1.05931,1.05698,1.05907
4/14/2015,1:00,1.05909,1.05909,1.0563,1.05742
4/14/2015,2:00,1.05744,1.05824,1.05687,1.05767
4/14/2015,3:00,1.05766,1.05809,1.0562,1.0562
4/14/2015,4:00,1.05618,1.05652,1.05454,1.0555
4/14/2015,5:00,1.05552,1.05562,1.05378,1.05396
4/14/2015,6:00,1.05394,1.05573,1.05302,1.05482
4/14/2015,7:00,1.0548,1.05742,1.05367,1.05472
4/14/2015,8:00,1.05472,1.05625,1.05375,1.0549
4/14/2015,9:00,1.0549,1.05744,1.05486,1.05577
4/14/2015,10:00,1.05579,1.05743,1.0553,1.0572
4/14/2015,11:00,1.05717,1.05802,1.05629,1.05689
4/14/2015,12:00,1.05691,1.06448,1.05574,1.06347
4/14/2015,13:00,1.06351,1.06908,1.06351,1.06779
4/14/2015,14:00,1.06778,1.07067,1.06581,1.06932
4/14/2015,15:00,1.06934,1.07002,1.06659,1.06718
4/14/2015,16:00,1.06718,1.06733,1.06535,1.06586
4/14/2015,17:00,1.06585,1.06731,1.06569,1.06707
4/14/2015,18:00,1.06707,1.06707,1.06481,1.06604
4/14/2015,19:00,1.06605,1.06613,1.0644,1.06479
4/14/2015,20:00,1.06478,1.0654,1.06456,1.06537
4/14/2015,21:00,1.06498,1.06575,1.06494,1.06537
4/14/2015,22:00,1.06532,1.06549,1.06495,1.06502
4/14/2015,23:00,1.06503,1.06507,1.06431,1.06457
4/15/2015,0:00,1.06456,1.06456,1.06266,1.06293
4/15/2015,1:00,1.06293,1.06374,1.06262,1.06295
4/15/2015,2:00,1.06293,1.0641,1.06241,1.06321
4/15/2015,3:00,1.06319,1.06366,1.06239,1.06239
